id,name,description,material_category_id,alternative_names,scientific_name,distribution,variation_name,custom_id,version,is_verified,source,ingredients,created_at,updated_at,created_by
3277,AM100A,"Material from Idemat 2025 dataset - ",64,AM100A,,,,a55a1df1-5420-4b95-b555-deba9818cec9,1,false,Idemat 2025,,2025-07-29 14:51:01.407435,2025-07-29 14:51:01.407443,
3278,AM503,"Material from Idemat 2025 dataset - ",64,AM503,,,,2fecc445-f9cb-4e6b-a6e8-e03b18bc33e2,1,false,Idemat 2025,,2025-07-29 14:51:01.943597,2025-07-29 14:51:01.943609,
3279,G-MgAl6Zn3,"Material from Idemat 2025 dataset - ",71,G-MgAl6Zn3,,,,5b273494-d0a5-4c3b-9701-a19160471f01,1,false,Idemat 2025,,2025-07-29 14:51:02.390684,2025-07-29 14:51:02.390694,
3280,G-MgAl8Zn1,"Material from Idemat 2025 dataset - ",71,G-MgAl8Zn1,,,,e0bac49d-b1be-4287-9de6-cbd096e0e0e5,1,false,Idemat 2025,,2025-07-29 14:51:02.976972,2025-07-29 14:51:02.976982,
3281,G-MgAl9Zn2,"Material from Idemat 2025 dataset - ",71,G-MgAl9Zn2,,,,72b6374f-5fed-4832-81c4-fbd4807cde4f,1,false,Idemat 2025,,2025-07-29 14:51:03.679732,2025-07-29 14:51:03.67974,
3282,GD-MgAl9Zn1,"Material from Idemat 2025 dataset - ",71,GD-MgAl9Zn1,,,,58e4651c-25c1-4a29-a56b-3d2c482f7ff9,1,false,Idemat 2025,,2025-07-29 14:51:04.332238,2025-07-29 14:51:04.332245,
3283,MgAl3Zn,"Material from Idemat 2025 dataset - ",71,MgAl3Zn,,,,181c3a02-6ecf-4020-9d0c-344a2e589b4e,1,false,Idemat 2025,,2025-07-29 14:51:04.942588,2025-07-29 14:51:04.9426,
3284,MgZn6Zr,"Material from Idemat 2025 dataset - ",71,MgZn6Zr,,,,0de39c8f-d526-4c0e-b701-ff26e8a38e66,1,false,Idemat 2025,,2025-07-29 14:51:05.673817,2025-07-29 14:51:05.673826,
3285,MgMn1.5,"Material from Idemat 2025 dataset - ",64,MgMn1.5,,,,241a1187-16f1-4b0d-a18f-cd339774ebf8,1,false,Idemat 2025,,2025-07-29 14:51:06.206108,2025-07-29 14:51:06.206116,
3286,MgAl6Zn,"Material from Idemat 2025 dataset - ",71,MgAl6Zn,,,,486ac482-86f5-4452-9f4a-68c3f192795d,1,false,Idemat 2025,,2025-07-29 14:51:06.660736,2025-07-29 14:51:06.660744,
